"","geneNames"
"1238","AC244453.2"
"1239","FAM72B"
"1240","SRGAP2C"
"1241","AC244021.1"
"1242","AL592494.1"
"1243","AL592494.3"
"1244","LINC01691"
"1245","AC239859.3"
"1246","AC239800.2"
"1247","AC239800.3"
"1248","AC239798.2"
"1249","HIST2H3PS2"
"1250","FAM72C"
"1251","AC245595.1"
"1252","PPIAL4E"
"1253","AC246785.3"
"1254","NBPF15"
"1255","LINC01632"
"1256","FP700111.1"
"1257","SRGAP2B"
"1258","FAM72D"
"1259","AC245014.3"
"1260","AC245014.1"
"1261","NBPF20"
"1262","GPR89A"
"1263","PDZK1"
"1264","CD160"
"1265","RNF115"
"1266","POLR3C"
"1267","NUDT17"
"1268","PIAS3"
"1269","ANKRD35"
"1270","ITGA10"
"1271","PEX11B"
"1272","RBM8A"
"1273","LIX1L-AS1"
"1274","LIX1L"
"1275","ANKRD34A"
"1276","AC243547.2"
"1277","POLR3GL"
"1278","TXNIP"
"1279","LINC01719"
"1280","NBPF10"
"1281","NOTCH2NL"
"1282","AC239799.2"
"1283","AC243756.1"
"1284","NBPF12"
"1285","AC244394.2"
"1286","PRKAB2"
"1287","AC242426.2"
"1288","FMO5"
"1289","CHD1L"
"1290","LINC00624"
"1291","BCL9"
"1292","ACP6"
"1293","GPR89B"
"1294","AC239803.2"
"1295","AC239803.3"
"1296","NBPF11"
"1297","AC239809.3"
"1298","AC239803.1"
"1299","AC245100.1"
"1300","AC245100.7"
"1301","PPIAL4G"
"1302","NBPF14"
"1303","NUDT4B"
"1304","PDE4DIP"
"1305","AC239802.2"
"1306","AC239804.1"
"1307","NBPF9"
"1308","AC245297.3"
"1309","AC245297.2"
"1310","NBPF19"
"1311","FCGR1A"
"1312","HIST2H2BF"
"1313","AC243772.2"
"1314","HIST2H3D"
"1315","HIST2H4A"
